country_code,country_N,Immigrant_National,Emigrant_National,cosine_ratio,prop_Emigrant,prop_Immigrant,prop_National,prop_ratio
Åland Islands,1187,0.33809877943729566,0.5283997169274823,0.6398542024270168,0.7304128053917439,0.2451558550968829,0.02443133951137321,0.3356401384083045
Albania,4076,0.3958379584766626,0.3441419218680834,1.1502172020425787,0.22031403336604513,0.3810107948969578,0.39867517173699707,1.7293986636971048
Algeria,39169,0.45925461504492304,0.44028556163547505,1.04308352365448,0.09931323240317598,0.09229237407133192,0.8083943935254921,0.929305912596401
Antigua & Barbuda,1025,0.08599177440048879,0.2050040442138626,0.4194637951180181,0.848780487804878,0.13853658536585367,0.012682926829268294,0.1632183908045977
Argentina,146913,0.8207191977576427,0.745942550123299,1.1002445129614655,0.2161279124379735,0.09195237997998816,0.6919197075820384,0.42545351473922904
Armenia,13885,0.2061404038195419,0.35715132809819383,0.5771794407631783,0.3176089305005402,0.08224702916816709,0.6001440403312928,0.2589569160997732
Australia,1139552,0.866095870553456,0.8514228795415153,1.0172334939129684,0.1754891395916992,0.28322621521440006,0.5412846451939007,1.6139244620685171
Austria,279289,0.7726939451312971,0.7417012957049935,1.041785890904835,0.25929771670205415,0.23262283870829142,0.5080794445896545,0.8971264447175465
Azerbaijan,7301,0.6305362508336797,0.6166827260426134,1.022464590308808,0.09710998493357074,0.12094233666621011,0.7819476784002192,1.2454160789844853
Bahamas,1294,0.12149915113242314,0.3684195790980209,0.3297847292206404,0.437403400309119,0.30525502318392583,0.25734157650695516,0.6978798586572439
Bahrain,2451,0.5711257644467692,0.24288853312158254,2.3513903975074903,0.1799265605875153,0.4814361485108119,0.33863729090167277,2.675736961451247
Bangladesh,57420,0.9073897914016325,0.23344107699744884,3.8870185276413407,0.25520724486241725,0.20903866248693834,0.5357540926506443,0.8190937627951413
Barbados,1507,0.048044440082384274,0.4832267490783268,0.09942421476878278,0.37027206370272064,0.30059721300597214,0.3291307232913072,0.8118279569892474
Belarus,19518,0.5569413030573389,0.7493028231742209,0.743279333578387,0.21462239983604878,0.058561328004918534,0.7268162721590327,0.27285748388636905
Belgium,391422,0.7434566115309312,0.7756218864243085,0.9585296966777688,0.2284950769246491,0.2024720123038562,0.5690329107714946,0.8861110489948344
Benin,4668,0.5086126803075894,0.4936080425584013,1.0303978794012718,0.20586975149957154,0.2712082262210797,0.5229220222793488,1.3173777315296566
Bermuda,1302,0.637308148545557,0.24659215237952867,2.584462410485308,0.5468509984639017,0.31259600614439326,0.14055299539170507,0.5716292134831461
Bolivia,3409,0.8766855659838682,0.7007777727195749,1.2510179405114852,0.3264887063655031,0.26400704018773835,0.40950425344675856,0.8086253369272237
Bosnia & Herzegovina,7964,0.3798133772786625,0.3119945452428725,1.2173718517514347,0.22287795077850325,0.17164741336012054,0.6054746358613762,0.7701408450704226
Botswana,5785,0.5244040303062695,0.6220129709353909,0.8430757151537598,0.2435609334485739,0.38271391529818494,0.37372515125324113,1.5713271823988644
Brazil,828726,0.8518313535263423,0.8138813336365539,1.046628443633449,0.13404671749166794,0.07700011825380162,0.7889531642545304,0.5744274809160306
Brunei,2235,0.34037239702486893,0.41628379893971396,0.8176450726446876,0.0912751677852349,0.6854586129753915,0.2232662192393736,7.509803921568627
Bulgaria,39108,0.7339701710788459,0.8210660233951582,0.8939234484991041,0.2746752582591797,0.12294159762708397,0.6023831441137363,0.4475889033699497
Burkina Faso,6582,0.7145990311359393,0.72994846697064375,0.9789718911275941,0.28866605894864783,0.18960802187784867,0.5217259191735035,0.6568421052631579
Cambodia,3784,0.8623032040140528,0.6204063903990432,1.389900583485967,0.19741014799154333,0.3977272727272727,0.4048625792811839,2.0147255689424366
Cameroon,16469,0.7341008697063245,0.864477643567342,0.8491843313344617,0.28107353209059444,0.16115125387090898,0.5577752140384966,0.5733419745085332
Canada,1288629,0.9019042158695247,0.8139854870804833,1.1080101920543803,0.24380873005341336,0.23184485216458733,0.5243464177819993,0.9509292473398923
Chile,113642,0.5790867267701097,0.7212224743984776,0.8029238512749987,0.17631685468400768,0.23639147498284085,0.5872916703331514,1.3407196686130658
China,4610029,0.9204186927562766,0.902134866280391,1.020267287253038,0.10142647692671782,0.10829237733645493,0.7902811457368273,1.0676933737400525
Colombia,71464,0.36663240047142387,0.8239913615985482,0.44494689818125616,0.25292454942348597,0.21925724840479122,0.5278182021717228,0.8668879668049791
Congo - Brazzaville,1745,0.43485949997246465,0.6462035482163156,0.6729450823549117,0.31919770773638967,0.3495702005730659,0.3312320916905444,1.095152603231598
Congo - Kinshasa,3475,0.5260480209132984,0.6244030697491404,0.8424814777490491,0.2454676258992806,0.24086330935251798,0.5136690647482014,0.9812426729191089
